Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 4 Profile,Chrome 89.0.4389.90,,,2564-03-23 23:24:11,2564-03-23 23:25:15,1m - 3.626s,PASSED
,,,,,,,
Test Cases/UC4_Profile/TC 401 Profile pass,Chrome 89.0.4389.90,,,2564-03-23 23:24:13,2564-03-23 23:24:30,17.620s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:24:13,2564-03-23 23:24:18,4.592s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:24:18,2564-03-23 23:24:21,3.155s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:21,2564-03-23 23:24:21,0.688s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 23:24:21,2564-03-23 23:24:22,0.905s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 23:24:22,2564-03-23 23:24:23,0.465s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:23,2564-03-23 23:24:25,2.443s,PASSED
"click(findTestObject(""Profile/cilk profile""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:25,2564-03-23 23:24:26,0.666s,PASSED
"click(findTestObject(""Profile/cilk profile_""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:26,2564-03-23 23:24:28,1.908s,PASSED
"verifyTextPresent(""Thanayut Samsang"", false)",Chrome 89.0.4389.90,,,2564-03-23 23:24:28,2564-03-23 23:24:28,0.533s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:24:28,2564-03-23 23:24:30,1.805s,PASSED
,,,,,,,
Test Cases/UC4_Profile/TC 402 Profile ID card,Chrome 89.0.4389.90,,,2564-03-23 23:24:30,2564-03-23 23:24:48,18.272s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:24:31,2564-03-23 23:24:35,4.002s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:24:35,2564-03-23 23:24:41,5.024s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:41,2564-03-23 23:24:41,0.480s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth3"")",Chrome 89.0.4389.90,,,2564-03-23 23:24:41,2564-03-23 23:24:42,0.771s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""l37CupPuZTE="")",Chrome 89.0.4389.90,,,2564-03-23 23:24:42,2564-03-23 23:24:42,0.433s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:42,2564-03-23 23:24:43,1.058s,PASSED
"click(findTestObject(""Profile/cilk profile""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:43,2564-03-23 23:24:44,0.381s,PASSED
"click(findTestObject(""Profile/cilk profile_""))",Chrome 89.0.4389.90,,,2564-03-23 23:24:44,2564-03-23 23:24:47,3.134s,PASSED
"verifyTextPresent(""614259454"", false)",Chrome 89.0.4389.90,,,2564-03-23 23:24:47,2564-03-23 23:24:47,0.556s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:24:47,2564-03-23 23:24:48,1.129s,PASSED
,,,,,,,
Test Cases/UC4_Profile/TC 403 Profile name,Chrome 89.0.4389.90,,,2564-03-23 23:24:48,2564-03-23 23:25:15,26.191s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:24:49,2564-03-23 23:24:57,8.231s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:24:57,2564-03-23 23:25:00,2.696s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:25:00,2564-03-23 23:25:01,1.131s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth3"")",Chrome 89.0.4389.90,,,2564-03-23 23:25:01,2564-03-23 23:25:02,1.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""l37CupPuZTE="")",Chrome 89.0.4389.90,,,2564-03-23 23:25:02,2564-03-23 23:25:04,2.455s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 23:25:04,2564-03-23 23:25:08,3.375s,PASSED
"click(findTestObject(""Profile/cilk profile""))",Chrome 89.0.4389.90,,,2564-03-23 23:25:08,2564-03-23 23:25:08,0.384s,PASSED
"click(findTestObject(""Profile/cilk profile_""))",Chrome 89.0.4389.90,,,2564-03-23 23:25:08,2564-03-23 23:25:11,2.729s,PASSED
"verifyTextPresent(""วรวัฒน์ รัตโนสถ"", false)",Chrome 89.0.4389.90,,,2564-03-23 23:25:11,2564-03-23 23:25:11,0.552s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:25:11,2564-03-23 23:25:15,3.167s,PASSED
