Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 1 login,,,,2564-03-02 15:58:46,2564-03-02 15:58:53,7.414s,FAILED
,,,,,,,
Test Cases/login/TC 101 login pass,,,,2564-03-02 15:58:48,2564-03-02 15:58:51,3.086s,FAILED
"openBrowser("""")",,,,2564-03-02 15:58:49,2564-03-02 15:58:51,1.949s,FAILED
,,,,,,,
Test Cases/login/TC 102 login failed,,,,2564-03-02 15:58:51,2564-03-02 15:58:52,1.093s,FAILED
"openBrowser("""")",,,,2564-03-02 15:58:52,2564-03-02 15:58:52,0.030s,FAILED
,,,,,,,
Test Cases/login/TC 103 login failed,,,,2564-03-02 15:58:52,2564-03-02 15:58:53,0.549s,FAILED
"openBrowser("""")",,,,2564-03-02 15:58:53,2564-03-02 15:58:53,0.027s,FAILED
