Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Chrome 89.0.4389.90,,,2564-03-23 02:16:47,2564-03-23 02:18:28,1m - 41.773s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 201 login pass,Chrome 89.0.4389.90,,,2564-03-23 02:16:48,2564-03-23 02:17:31,42.072s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:16:49,2564-03-23 02:16:59,10.457s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 02:16:59,2564-03-23 02:17:03,3.091s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:17:03,2564-03-23 02:17:06,3.182s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 02:17:06,2564-03-23 02:17:11,5.198s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 02:17:11,2564-03-23 02:17:16,5.477s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 02:17:16,2564-03-23 02:17:21,4.366s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 02:17:21,2564-03-23 02:17:27,6.418s,PASSED
"verifyTextPresent(""Welcome to"", false)",Chrome 89.0.4389.90,,,2564-03-23 02:17:27,2564-03-23 02:17:28,0.771s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 02:17:28,2564-03-23 02:17:30,2.527s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 202 login failed,Chrome 89.0.4389.90,,,2564-03-23 02:17:31,2564-03-23 02:18:04,33.093s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:17:34,2564-03-23 02:17:42,8.320s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 02:17:42,2564-03-23 02:17:42,0.174s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:17:42,2564-03-23 02:17:50,8.217s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 02:17:50,2564-03-23 02:17:51,0.575s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Chrome 89.0.4389.90,,,2564-03-23 02:17:51,2564-03-23 02:17:53,2.311s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 02:17:53,2564-03-23 02:17:54,0.843s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 02:17:54,2564-03-23 02:17:59,5.323s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Chrome 89.0.4389.90,,,2564-03-23 02:17:59,2564-03-23 02:18:00,0.283s,PASSED
alertText = getAlertText(),Chrome 89.0.4389.90,Get text alert on the alert when it's shown,,2564-03-23 02:18:00,2564-03-23 02:18:01,0.874s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Chrome 89.0.4389.90,Verify text alert is correct or not,,2564-03-23 02:18:01,2564-03-23 02:18:01,0.834s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 02:18:01,2564-03-23 02:18:04,2.445s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 203 login failed,Chrome 89.0.4389.90,,,2564-03-23 02:18:04,2564-03-23 02:18:28,24.558s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 02:18:05,2564-03-23 02:18:10,4.711s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 02:18:10,2564-03-23 02:18:10,0.161s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 02:18:10,2564-03-23 02:18:14,3.854s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 02:18:14,2564-03-23 02:18:14,0.778s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 02:18:14,2564-03-23 02:18:16,1.115s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Chrome 89.0.4389.90,,,2564-03-23 02:18:16,2564-03-23 02:18:24,8.085s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 02:18:24,2564-03-23 02:18:27,3.809s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Chrome 89.0.4389.90,,,2564-03-23 02:18:27,2564-03-23 02:18:27,0.022s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 02:18:27,2564-03-23 02:18:28,1.019s,PASSED
