Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 5 search,,,,2564-03-09 14:47:08,2564-03-09 14:47:14,6.638s,FAILED
,,,,,,,
Test Cases/Search/TC 501 search by id,,,,2564-03-09 14:47:09,2564-03-09 14:47:12,2.863s,FAILED
"openBrowser("""")",,,,2564-03-09 14:47:09,2564-03-09 14:47:12,2.415s,FAILED
,,,,,,,
Test Cases/Search/TC 502 search by name,,,,2564-03-09 14:47:12,2564-03-09 14:47:13,1.210s,FAILED
"openBrowser("""")",,,,2564-03-09 14:47:12,2564-03-09 14:47:13,0.862s,FAILED
,,,,,,,
Test Cases/Search/TC 503 search by graduation year,,,,2564-03-09 14:47:13,2564-03-09 14:47:14,1.551s,FAILED
"openBrowser("""")",,,,2564-03-09 14:47:13,2564-03-09 14:47:14,1.226s,FAILED
