Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Edge Chromium 89,,,2564-03-09 23:41:26,2564-03-09 23:42:52,1m - 25.988s,PASSED
,,,,,,,
Test Cases/login/TC 201 login pass,Edge Chromium 89,,,2564-03-09 23:41:32,2564-03-09 23:42:17,45.001s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:41:36,2564-03-09 23:41:46,9.986s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:41:46,2564-03-09 23:41:47,1.074s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:41:47,2564-03-09 23:41:51,3.702s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:41:51,2564-03-09 23:41:55,3.693s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-09 23:41:55,2564-03-09 23:41:58,3.294s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-09 23:41:58,2564-03-09 23:42:02,4.007s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:42:02,2564-03-09 23:42:06,3.556s,PASSED
"verifyTextPresent(""Welcome to"", false)",Edge Chromium 89,,,2564-03-09 23:42:06,2564-03-09 23:42:08,2.531s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:42:08,2564-03-09 23:42:17,9.010s,PASSED
,,,,,,,
Test Cases/login/TC 202 login failed,Edge Chromium 89,,,2564-03-09 23:42:17,2564-03-09 23:42:32,14.636s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:42:20,2564-03-09 23:42:23,3.167s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:42:23,2564-03-09 23:42:24,0.347s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:42:24,2564-03-09 23:42:27,3.097s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:42:27,2564-03-09 23:42:28,1.205s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Edge Chromium 89,,,2564-03-09 23:42:28,2564-03-09 23:42:29,1.234s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-09 23:42:29,2564-03-09 23:42:30,0.589s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:42:30,2564-03-09 23:42:31,1.069s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-09 23:42:31,2564-03-09 23:42:31,0.482s,PASSED
alertText = getAlertText(),Edge Chromium 89,Get text alert on the alert when it's shown,,2564-03-09 23:42:31,2564-03-09 23:42:32,0.246s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Edge Chromium 89,Verify text alert is correct or not,,2564-03-09 23:42:32,2564-03-09 23:42:32,0.280s,PASSED
,,,,,,,
Test Cases/login/TC 203 login failed,Edge Chromium 89,,,2564-03-09 23:42:32,2564-03-09 23:42:52,19.937s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:42:34,2564-03-09 23:42:42,7.926s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:42:42,2564-03-09 23:42:42,0.411s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:42:42,2564-03-09 23:42:44,1.854s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:42:44,2564-03-09 23:42:46,1.639s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-09 23:42:46,2564-03-09 23:42:47,1.739s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Edge Chromium 89,,,2564-03-09 23:42:47,2564-03-09 23:42:49,1.528s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:42:49,2564-03-09 23:42:50,1.177s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-09 23:42:50,2564-03-09 23:42:51,0.418s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:42:51,2564-03-09 23:42:52,1.391s,PASSED
