Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 4 Profile,Edge Chromium 89,,,2564-03-09 23:27:35,2564-03-09 23:29:28,1m - 52.672s,FAILED
,,,,,,,
Test Cases/Profile/TC 401 Profile pass,Edge Chromium 89,,,2564-03-09 23:27:40,2564-03-09 23:28:21,40.360s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:27:44,2564-03-09 23:28:00,15.403s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:28:00,2564-03-09 23:28:02,1.765s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:28:02,2564-03-09 23:28:03,1.927s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Edge Chromium 89,,,2564-03-09 23:28:03,2564-03-09 23:28:05,1.713s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Edge Chromium 89,,,2564-03-09 23:28:05,2564-03-09 23:28:10,4.592s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-09 23:28:10,2564-03-09 23:28:12,2.644s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Edge Chromium 89,,,2564-03-09 23:28:12,2564-03-09 23:28:14,1.237s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-09 23:28:14,2564-03-09 23:28:15,1.809s,PASSED
"verifyTextPresent(""614259052"", false)",Edge Chromium 89,,,2564-03-09 23:28:15,2564-03-09 23:28:16,0.370s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:28:16,2564-03-09 23:28:21,4.742s,PASSED
,,,,,,,
Test Cases/Profile/TC 402 Profile pass,Edge Chromium 89,,,2564-03-09 23:28:21,2564-03-09 23:29:00,38.952s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:28:26,2564-03-09 23:28:32,5.729s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:28:32,2564-03-09 23:28:36,4.238s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:28:36,2564-03-09 23:28:38,2.314s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Edge Chromium 89,,,2564-03-09 23:28:38,2564-03-09 23:28:40,2.030s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Edge Chromium 89,,,2564-03-09 23:28:40,2564-03-09 23:28:41,1.052s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-09 23:28:41,2564-03-09 23:28:44,2.821s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Edge Chromium 89,,,2564-03-09 23:28:44,2564-03-09 23:28:45,1.186s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-09 23:28:45,2564-03-09 23:28:49,3.196s,PASSED
"verifyTextPresent(""วรวัต รัตโนนสถ"", false)",Edge Chromium 89,,,2564-03-09 23:28:49,2564-03-09 23:28:49,0.690s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:28:49,2564-03-09 23:29:00,10.325s,PASSED
,,,,,,,
Test Cases/Profile/TC 403 Profile pass,Edge Chromium 89,,,2564-03-09 23:29:00,2564-03-09 23:29:28,27.502s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:29:07,2564-03-09 23:29:11,4.423s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:29:11,2564-03-09 23:29:14,2.821s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:29:14,2564-03-09 23:29:15,1.312s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Edge Chromium 89,,,2564-03-09 23:29:15,2564-03-09 23:29:17,1.422s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Edge Chromium 89,,,2564-03-09 23:29:17,2564-03-09 23:29:17,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-09 23:29:17,2564-03-09 23:29:18,1.331s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Edge Chromium 89,,,2564-03-09 23:29:18,2564-03-09 23:29:20,1.920s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-09 23:29:20,2564-03-09 23:29:24,3.828s,PASSED
"verifyTextPresent(""0632518094"", false)",Edge Chromium 89,,,2564-03-09 23:29:24,2564-03-09 23:29:27,3.151s,FAILED
