Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 3 search,Edge Chromium 89,,,2564-03-22 21:15:04,2564-03-22 21:17:59,2m - 55.080s,FAILED
,,,,,,,
Test Cases/UC3_Search/TC 301 search by id,Edge Chromium 89,,,2564-03-22 21:15:09,2564-03-22 21:15:55,45.289s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 21:15:10,2564-03-22 21:15:22,11.538s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 21:15:22,2564-03-22 21:15:22,0.185s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 21:15:22,2564-03-22 21:15:25,3.147s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 21:15:25,2564-03-22 21:15:27,1.934s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 21:15:27,2564-03-22 21:15:28,0.690s,PASSED
"setEncryptedText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 21:15:28,2564-03-22 21:15:28,0.458s,PASSED
"sendKeys(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 21:15:28,2564-03-22 21:15:39,11.140s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/i__fas fa-search""))",Edge Chromium 89,,,2564-03-22 21:15:39,2564-03-22 21:15:48,8.620s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-22 21:15:48,2564-03-22 21:15:50,2.019s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input__Std_ID""), ""614259052"")",Edge Chromium 89,,,2564-03-22 21:15:50,2564-03-22 21:15:52,1.755s,PASSED
