Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Edge Chromium 89,,,2564-03-22 20:54:13,2564-03-22 20:58:43,4m - 29.798s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 201 login pass,Edge Chromium 89,,,2564-03-22 20:54:15,2564-03-22 20:56:40,2m - 24.971s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 20:54:16,2564-03-22 20:55:07,50.677s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 20:55:07,2564-03-22 20:55:08,0.745s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 20:55:08,2564-03-22 20:55:14,6.121s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 20:55:14,2564-03-22 20:55:16,2.495s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 20:55:16,2564-03-22 20:55:34,17.124s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 20:55:34,2564-03-22 20:55:41,7.373s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 20:55:41,2564-03-22 20:56:25,43.959s,PASSED
"verifyTextPresent(""Welcome to"", false)",Edge Chromium 89,,,2564-03-22 20:56:25,2564-03-22 20:56:27,1.872s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 20:56:27,2564-03-22 20:56:40,13.075s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 202 login failed,Edge Chromium 89,,,2564-03-22 20:56:40,2564-03-22 20:57:38,57.814s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 20:57:00,2564-03-22 20:57:15,14.871s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 20:57:15,2564-03-22 20:57:15,0.424s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 20:57:15,2564-03-22 20:57:20,5.084s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 20:57:21,2564-03-22 20:57:23,2.775s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Edge Chromium 89,,,2564-03-22 20:57:23,2564-03-22 20:57:24,0.898s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 20:57:24,2564-03-22 20:57:24,0.255s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 20:57:24,2564-03-22 20:57:26,1.616s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-22 20:57:26,2564-03-22 20:57:27,1.291s,PASSED
alertText = getAlertText(),Edge Chromium 89,Get text alert on the alert when it's shown,,2564-03-22 20:57:27,2564-03-22 20:57:30,2.567s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Edge Chromium 89,Verify text alert is correct or not,,2564-03-22 20:57:30,2564-03-22 20:57:33,3.172s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 20:57:33,2564-03-22 20:57:38,5.025s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 203 login failed,Edge Chromium 89,,,2564-03-22 20:57:38,2564-03-22 20:58:43,1m - 4.602s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 20:57:42,2564-03-22 20:58:06,24.120s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 20:58:06,2564-03-22 20:58:08,2.234s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 20:58:08,2564-03-22 20:58:20,12.256s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 20:58:20,2564-03-22 20:58:29,8.056s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 20:58:29,2564-03-22 20:58:31,2.496s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Edge Chromium 89,,,2564-03-22 20:58:31,2564-03-22 20:58:35,3.712s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 20:58:35,2564-03-22 20:58:39,3.978s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-22 20:58:39,2564-03-22 20:58:39,0.283s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 20:58:39,2564-03-22 20:58:42,2.982s,PASSED
