Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 3 search,Chrome 89.0.4389.90,,,2564-03-23 22:05:13,2564-03-23 22:06:25,1m - 12.537s,PASSED
,,,,,,,
Test Cases/UC3_Search/TC 301 search by id,Chrome 89.0.4389.90,,,2564-03-23 22:05:14,2564-03-23 22:05:30,16.110s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 22:05:14,2564-03-23 22:05:17,2.958s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:17,2564-03-23 22:05:18,1.228s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:18,2564-03-23 22:05:19,0.701s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:19,2564-03-23 22:05:20,0.886s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 22:05:20,2564-03-23 22:05:20,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:20,2564-03-23 22:05:22,1.980s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:22,2564-03-23 22:05:24,1.628s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/button_id""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:24,2564-03-23 22:05:25,1.257s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/input__Std_ID""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:25,2564-03-23 22:05:26,0.484s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Std_ID""), ""614259018"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:26,2564-03-23 22:05:26,0.655s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__search""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:26,2564-03-23 22:05:28,1.980s,PASSED
"verifyTextPresent(""ธนายุทธ สามสังข์"", false)",Chrome 89.0.4389.90,,,2564-03-23 22:05:28,2564-03-23 22:05:29,0.488s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 22:05:29,2564-03-23 22:05:30,0.983s,PASSED
,,,,,,,
Test Cases/UC3_Search/TC 302 search by name,Chrome 89.0.4389.90,,,2564-03-23 22:05:30,2564-03-23 22:05:45,14.974s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 22:05:30,2564-03-23 22:05:32,2.382s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:32,2564-03-23 22:05:34,1.576s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:34,2564-03-23 22:05:35,0.627s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:35,2564-03-23 22:05:36,0.866s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 22:05:36,2564-03-23 22:05:36,0.420s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:36,2564-03-23 22:05:38,2.034s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:38,2564-03-23 22:05:39,1.192s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a__1""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:39,2564-03-23 22:05:40,1.173s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__FName_LName""), ""ธนายุทธ"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:40,2564-03-23 22:05:41,0.762s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__search""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:41,2564-03-23 22:05:43,2.003s,PASSED
"verifyTextPresent(""614259018"", false)",Chrome 89.0.4389.90,,,2564-03-23 22:05:43,2564-03-23 22:05:44,0.552s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 22:05:44,2564-03-23 22:05:45,1.113s,PASSED
,,,,,,,
Test Cases/UC3_Search/TC 303 search by school year,Chrome 89.0.4389.90,,,2564-03-23 22:05:45,2564-03-23 22:05:58,13.651s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 22:05:45,2564-03-23 22:05:48,3.250s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:48,2564-03-23 22:05:51,2.293s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:51,2564-03-23 22:05:51,0.640s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 22:05:51,2564-03-23 22:05:53,1.257s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 22:05:53,2564-03-23 22:05:53,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 22:05:53,2564-03-23 22:05:54,1.127s,PASSED
