Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 3 search,,,,2564-03-02 16:00:10,2564-03-02 16:00:16,6.236s,FAILED
,,,,,,,
Test Cases/Search/TC 101 search by id,,,,2564-03-02 16:00:12,2564-03-02 16:00:14,1.914s,FAILED
"openBrowser("""")",,,,2564-03-02 16:00:13,2564-03-02 16:00:14,1.095s,FAILED
,,,,,,,
Test Cases/Search/TC 102 search by name,,,,2564-03-02 16:00:14,2564-03-02 16:00:15,1.138s,FAILED
"openBrowser("""")",,,,2564-03-02 16:00:15,2564-03-02 16:00:15,0.048s,FAILED
,,,,,,,
Test Cases/Search/TC 103 search by graduation year,,,,2564-03-02 16:00:15,2564-03-02 16:00:16,0.711s,FAILED
"openBrowser("""")",,,,2564-03-02 16:00:16,2564-03-02 16:00:16,0.043s,FAILED
