Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 5 EditProfile,Edge Chromium 89,,,2564-03-09 23:57:50,2564-03-09 23:58:27,36.625s,PASSED
,,,,,,,
Test Cases/EditProfile/TC 501 EditProfile end year,Edge Chromium 89,,,2564-03-09 23:57:52,2564-03-09 23:58:06,14.058s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:57:52,2564-03-09 23:57:57,4.391s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:57:57,2564-03-09 23:57:59,2.335s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:57:59,2564-03-09 23:58:00,1.113s,PASSED
"setText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-09 23:58:00,2564-03-09 23:58:01,0.727s,PASSED
"setEncryptedText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-09 23:58:01,2564-03-09 23:58:02,0.567s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-09 23:58:02,2564-03-09 23:58:03,1.024s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/button_""))",Edge Chromium 89,,,2564-03-09 23:58:03,2564-03-09 23:58:03,0.397s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-09 23:58:03,2564-03-09 23:58:04,0.656s,PASSED
"setText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input__End_Year""), ""2561"")",Edge Chromium 89,,,2564-03-09 23:58:04,2564-03-09 23:58:04,0.418s,PASSED
