Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 3 search,Chrome 89.0.4389.90,,,2564-03-23 19:56:39,2564-03-23 19:57:42,1m - 2.531s,PASSED
,,,,,,,
Test Cases/UC3_Search/TC 301 search by id,Chrome 89.0.4389.90,,,2564-03-23 19:56:40,2564-03-23 19:56:57,16.933s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 19:56:41,2564-03-23 19:56:47,5.808s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 19:56:47,2564-03-23 19:56:48,1.441s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:48,2564-03-23 19:56:49,0.649s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 19:56:49,2564-03-23 19:56:49,0.842s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 19:56:49,2564-03-23 19:56:50,0.482s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:50,2564-03-23 19:56:51,1.329s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:51,2564-03-23 19:56:52,0.523s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/button_id""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:52,2564-03-23 19:56:53,1.489s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/input__Std_ID""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:53,2564-03-23 19:56:54,0.512s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Std_ID""), ""614259018"")",Chrome 89.0.4389.90,,,2564-03-23 19:56:54,2564-03-23 19:56:55,0.744s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__search""))",Chrome 89.0.4389.90,,,2564-03-23 19:56:55,2564-03-23 19:56:56,1.396s,PASSED
"verifyTextPresent(""ธนายุทธ สามสังข์"", false)",Chrome 89.0.4389.90,,,2564-03-23 19:56:56,2564-03-23 19:56:57,0.549s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 19:56:57,2564-03-23 19:56:57,0.801s,PASSED
,,,,,,,
Test Cases/UC3_Search/TC 302 search by name,Chrome 89.0.4389.90,,,2564-03-23 19:56:57,2564-03-23 19:57:08,11.135s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 19:56:58,2564-03-23 19:57:00,2.814s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 19:57:00,2564-03-23 19:57:01,1.083s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 19:57:01,2564-03-23 19:57:02,0.569s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 19:57:02,2564-03-23 19:57:03,0.731s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 19:57:03,2564-03-23 19:57:03,0.409s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 19:57:03,2564-03-23 19:57:04,1.113s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a""))",Chrome 89.0.4389.90,,,2564-03-23 19:57:04,2564-03-23 19:57:05,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a__1""))",Chrome 89.0.4389.90,,,2564-03-23 19:57:05,2564-03-23 19:57:06,0.699s,PASSED
