Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Chrome 89.0.4389.90,,,2564-03-23 23:35:36,2564-03-23 23:37:53,2m - 16.907s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 201 login pass,Chrome 89.0.4389.90,,,2564-03-23 23:35:37,2564-03-23 23:36:06,29.097s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:35:37,2564-03-23 23:35:44,7.021s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 23:35:44,2564-03-23 23:35:45,0.876s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:35:45,2564-03-23 23:35:48,2.727s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:35:48,2564-03-23 23:35:49,1.180s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 23:35:49,2564-03-23 23:35:50,1.032s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 23:35:50,2564-03-23 23:35:51,0.644s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 23:35:51,2564-03-23 23:36:00,9.359s,PASSED
"verifyTextPresent(""Welcome to"", false)",Chrome 89.0.4389.90,,,2564-03-23 23:36:00,2564-03-23 23:36:01,0.551s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:36:01,2564-03-23 23:36:06,5.305s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 202 login failed,Chrome 89.0.4389.90,,,2564-03-23 23:36:06,2564-03-23 23:36:59,52.624s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:36:07,2564-03-23 23:36:33,25.931s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 23:36:33,2564-03-23 23:36:33,0.330s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:36:33,2564-03-23 23:36:36,3.197s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:36:36,2564-03-23 23:36:37,0.894s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Chrome 89.0.4389.90,,,2564-03-23 23:36:37,2564-03-23 23:36:40,2.484s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 23:36:40,2564-03-23 23:36:42,1.960s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 23:36:42,2564-03-23 23:36:54,11.839s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Chrome 89.0.4389.90,,,2564-03-23 23:36:54,2564-03-23 23:36:54,0.437s,PASSED
alertText = getAlertText(),Chrome 89.0.4389.90,Get text alert on the alert when it's shown,,2564-03-23 23:36:54,2564-03-23 23:36:54,0.369s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Chrome 89.0.4389.90,Verify text alert is correct or not,,2564-03-23 23:36:54,2564-03-23 23:36:55,0.972s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:36:55,2564-03-23 23:36:59,3.066s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 203 login failed,Chrome 89.0.4389.90,,,2564-03-23 23:36:59,2564-03-23 23:37:53,53.653s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:37:05,2564-03-23 23:37:28,22.907s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 23:37:28,2564-03-23 23:37:29,1.091s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:37:29,2564-03-23 23:37:36,6.403s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:37:36,2564-03-23 23:37:37,1.370s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 23:37:37,2564-03-23 23:37:38,0.960s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Chrome 89.0.4389.90,,,2564-03-23 23:37:38,2564-03-23 23:37:39,1.003s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 23:37:39,2564-03-23 23:37:46,7.225s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Chrome 89.0.4389.90,,,2564-03-23 23:37:46,2564-03-23 23:37:47,0.224s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:37:47,2564-03-23 23:37:53,6.031s,PASSED
