Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Chrome 89.0.4389.90,,,2564-03-23 23:13:57,2564-03-23 23:20:35,6m - 38.328s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 201 login pass,Chrome 89.0.4389.90,,,2564-03-23 23:13:58,2564-03-23 23:15:01,1m - 2.884s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:13:59,2564-03-23 23:14:14,14.743s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 23:14:14,2564-03-23 23:14:30,16.026s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:14:30,2564-03-23 23:14:41,11.239s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:14:41,2564-03-23 23:14:43,1.699s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 23:14:43,2564-03-23 23:14:44,1.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 23:14:44,2564-03-23 23:14:46,1.701s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Chrome 89.0.4389.90,,,2564-03-23 23:14:46,2564-03-23 23:14:54,8.080s,PASSED
"verifyTextPresent(""Welcome to"", false)",Chrome 89.0.4389.90,,,2564-03-23 23:14:54,2564-03-23 23:14:55,0.341s,PASSED
closeBrowser(),Chrome 89.0.4389.90,,,2564-03-23 23:14:55,2564-03-23 23:15:01,6.699s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 202 login failed,Chrome 89.0.4389.90,,,2564-03-23 23:15:03,2564-03-23 23:17:00,1m - 56.125s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 23:15:04,2564-03-23 23:15:31,26.209s,PASSED
"setViewPortSize(1600, 900)",Chrome 89.0.4389.90,,,2564-03-23 23:15:31,2564-03-23 23:15:32,0.976s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 23:15:32,2564-03-23 23:15:50,17.952s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 23:15:50,2564-03-23 23:16:06,15.961s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Chrome 89.0.4389.90,,,2564-03-23 23:16:06,2564-03-23 23:16:16,9.992s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 23:16:16,2564-03-23 23:16:22,6.107s,PASSED
