Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 1 EditProfile,,,,2564-03-09 21:13:31,2564-03-09 21:13:47,16.291s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 101 EditProfile pass,,,,2564-03-09 21:13:37,2564-03-09 21:13:44,7.156s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:38,2564-03-09 21:13:44,5.596s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 102 EditProfile pass,,,,2564-03-09 21:13:44,2564-03-09 21:13:45,1.585s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:44,2564-03-09 21:13:45,0.981s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 103 EditProfile pass,,,,2564-03-09 21:13:45,2564-03-09 21:13:47,2.031s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:46,2564-03-09 21:13:47,0.971s,FAILED
