Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Edge Chromium 89,,,2564-03-22 21:23:00,2564-03-22 21:26:56,3m - 56.157s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 201 login pass,Edge Chromium 89,,,2564-03-22 21:23:01,2564-03-22 21:24:24,1m - 22.746s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 21:23:02,2564-03-22 21:23:21,18.359s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 21:23:21,2564-03-22 21:23:22,1.566s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 21:23:22,2564-03-22 21:23:33,10.745s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 21:23:33,2564-03-22 21:23:34,0.948s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 21:23:34,2564-03-22 21:23:34,0.502s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 21:23:34,2564-03-22 21:23:37,2.409s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 21:23:37,2564-03-22 21:24:03,26.402s,PASSED
"verifyTextPresent(""Welcome to"", false)",Edge Chromium 89,,,2564-03-22 21:24:03,2564-03-22 21:24:13,9.489s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 21:24:13,2564-03-22 21:24:24,11.369s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 202 login failed,Edge Chromium 89,,,2564-03-22 21:24:24,2564-03-22 21:25:46,1m - 22.068s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 21:24:27,2564-03-22 21:24:58,31.036s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 21:24:58,2564-03-22 21:25:00,2.069s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 21:25:00,2564-03-22 21:25:13,12.683s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 21:25:13,2564-03-22 21:25:19,6.473s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Edge Chromium 89,,,2564-03-22 21:25:19,2564-03-22 21:25:25,5.302s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 21:25:25,2564-03-22 21:25:27,2.594s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 21:25:27,2564-03-22 21:25:31,4.123s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-22 21:25:31,2564-03-22 21:25:38,7.105s,PASSED
alertText = getAlertText(),Edge Chromium 89,Get text alert on the alert when it's shown,,2564-03-22 21:25:38,2564-03-22 21:25:40,2.009s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Edge Chromium 89,Verify text alert is correct or not,,2564-03-22 21:25:40,2564-03-22 21:25:42,1.436s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 21:25:42,2564-03-22 21:25:46,4.533s,PASSED
,,,,,,,
Test Cases/UC2_login/TC 203 login failed,Edge Chromium 89,,,2564-03-22 21:25:46,2564-03-22 21:26:56,1m - 9.356s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 21:25:55,2564-03-22 21:26:07,11.864s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 21:26:07,2564-03-22 21:26:24,16.920s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 21:26:24,2564-03-22 21:26:26,2.608s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 21:26:26,2564-03-22 21:26:32,5.261s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 21:26:32,2564-03-22 21:26:40,7.870s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Edge Chromium 89,,,2564-03-22 21:26:40,2564-03-22 21:26:49,9.080s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 21:26:49,2564-03-22 21:26:53,4.153s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-22 21:26:53,2564-03-22 21:26:53,0.326s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-22 21:26:53,2564-03-22 21:26:55,2.094s,PASSED
