Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,,,,2564-03-09 14:32:12,2564-03-09 14:42:24,10m - 11.289s,FAILED
,,,,,,,
Test Cases/login/TC 201 login pass,,,,2564-03-09 14:32:14,2564-03-09 14:34:17,2m - 2.800s,FAILED
"openBrowser("""")",,,,2564-03-09 14:32:14,2564-03-09 14:34:14,1m - 59.548s,FAILED
,,,,,,,
Test Cases/login/TC 202 login failed,,,,2564-03-09 14:34:25,2564-03-09 14:38:56,4m - 30.705s,FAILED
"openBrowser("""")",,,,2564-03-09 14:37:26,2564-03-09 14:38:07,40.942s,FAILED
,,,,,,,
Test Cases/login/TC 203 login failed,,,,2564-03-09 14:39:29,2564-03-09 14:42:24,2m - 54.118s,FAILED
"openBrowser("""")",,,,2564-03-09 14:41:41,2564-03-09 14:42:22,41.326s,FAILED
