Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 5 EditProfile,Edge Chromium 89,,,2564-03-22 21:18:31,2564-03-22 21:19:09,37.500s,FAILED
,,,,,,,
Test Cases/UC5_EditProfile/TC 501 EditProfile end year,Edge Chromium 89,,,2564-03-22 21:18:33,2564-03-22 21:18:50,16.647s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 21:18:34,2564-03-22 21:18:38,4.469s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 21:18:38,2564-03-22 21:18:39,1.034s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 21:18:39,2564-03-22 21:18:40,1.016s,PASSED
"setText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 21:18:40,2564-03-22 21:18:41,0.587s,PASSED
"setEncryptedText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 21:18:41,2564-03-22 21:18:42,1.195s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-22 21:18:42,2564-03-22 21:18:45,3.061s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/button_""))",Edge Chromium 89,,,2564-03-22 21:18:45,2564-03-22 21:18:45,0.200s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-22 21:18:45,2564-03-22 21:18:46,0.949s,PASSED
"setText(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input__End_Year""), ""2561"")",Edge Chromium 89,,,2564-03-22 21:18:46,2564-03-22 21:18:47,0.545s,PASSED
"click(findTestObject(""Object Repository/editProfile/Page_NPRU Alumni/input__submit""))",Edge Chromium 89,,,2564-03-22 21:18:47,2564-03-22 21:18:49,2.244s,PASSED
"verifyTextPresent(""2561"", false)",Edge Chromium 89,,,2564-03-22 21:18:49,2564-03-22 21:18:50,0.706s,FAILED
,,,,,,,
