Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 5 search,,,,2564-03-09 21:13:11,2564-03-09 21:13:36,25.297s,FAILED
,,,,,,,
Test Cases/Search/TC 501 search by id,,,,2564-03-09 21:13:14,2564-03-09 21:13:24,9.435s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:16,2564-03-09 21:13:24,8.124s,FAILED
,,,,,,,
Test Cases/Search/TC 502 search by name,,,,2564-03-09 21:13:24,2564-03-09 21:13:27,2.940s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:25,2564-03-09 21:13:27,1.729s,FAILED
,,,,,,,
Test Cases/Search/TC 503 search by graduation year,,,,2564-03-09 21:13:27,2564-03-09 21:13:36,9.054s,FAILED
"openBrowser("""")",,,,2564-03-09 21:13:28,2564-03-09 21:13:36,7.461s,FAILED
