Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 3 search,Edge Chromium 89,,,2564-03-22 19:56:25,2564-03-22 19:58:10,1m - 44.512s,FAILED
,,,,,,,
Test Cases/UC3_Search/TC 301 search by id,Edge Chromium 89,,,2564-03-22 19:56:26,2564-03-22 19:56:35,9.121s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 19:56:27,2564-03-22 19:56:29,2.090s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 19:56:29,2564-03-22 19:56:29,0.204s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 19:56:29,2564-03-22 19:56:30,1.358s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 19:56:30,2564-03-22 19:56:31,0.272s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 19:56:31,2564-03-22 19:56:31,0.321s,PASSED
"setEncryptedText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 19:56:31,2564-03-22 19:56:31,0.186s,PASSED
"sendKeys(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 19:56:31,2564-03-22 19:56:32,0.625s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/i__fas fa-search""))",Edge Chromium 89,,,2564-03-22 19:56:32,2564-03-22 19:56:33,1.047s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_""))",Edge Chromium 89,,,2564-03-22 19:56:33,2564-03-22 19:56:34,1.501s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input__Std_ID""), ""614259052"")",Edge Chromium 89,,,2564-03-22 19:56:34,2564-03-22 19:56:35,0.220s,PASSED
"sendKeys(findTestObject(""Object Repository/search/Page_NPRU Alumni/input__Std_ID""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 19:56:35,2564-03-22 19:56:35,0.332s,PASSED
"verifyTextPresent(""614259052"", false)",Edge Chromium 89,,,2564-03-22 19:56:35,2564-03-22 19:56:35,0.526s,FAILED
,,,,,,,
Test Cases/UC3_Search/TC 302 search by name,Edge Chromium 89,,,2564-03-22 19:56:35,2564-03-22 19:56:44,8.891s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 19:56:36,2564-03-22 19:56:39,3.706s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 19:56:39,2564-03-22 19:56:40,0.165s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 19:56:40,2564-03-22 19:56:41,1.214s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 19:56:41,2564-03-22 19:56:41,0.175s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 19:56:41,2564-03-22 19:56:41,0.212s,PASSED
"setEncryptedText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 19:56:41,2564-03-22 19:56:41,0.197s,PASSED
"sendKeys(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 19:56:41,2564-03-22 19:56:42,1.050s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/i__fas fa-search""))",Edge Chromium 89,,,2564-03-22 19:56:42,2564-03-22 19:56:43,0.569s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/button_searchName""))",Edge Chromium 89,,,2564-03-22 19:56:43,2564-03-22 19:56:43,0.381s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__FName_LName""), ""Thanayut Samsang"")",Edge Chromium 89,,,2564-03-22 19:56:43,2564-03-22 19:56:44,0.208s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input__search""))",Edge Chromium 89,,,2564-03-22 19:56:44,2564-03-22 19:56:44,0.244s,PASSED
"verifyTextPresent(""Thanayut Samsang"", false)",Edge Chromium 89,,,2564-03-22 19:56:44,2564-03-22 19:56:44,0.469s,FAILED
,,,,,,,
Test Cases/UC3_Search/TC 303 search by graduation year,Edge Chromium 89,,,2564-03-22 19:56:44,2564-03-22 19:57:25,40.180s,FAILED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 19:56:45,2564-03-22 19:56:48,3.483s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-22 19:56:48,2564-03-22 19:56:48,0.175s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 19:56:48,2564-03-22 19:56:51,2.690s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 19:56:51,2564-03-22 19:56:51,0.192s,PASSED
"setText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-22 19:56:51,2564-03-22 19:56:52,0.223s,PASSED
"setEncryptedText(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-22 19:56:52,2564-03-22 19:56:52,0.168s,PASSED
"sendKeys(findTestObject(""Object Repository/search/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-22 19:56:52,2564-03-22 19:56:52,0.668s,PASSED
"click(findTestObject(""Object Repository/search/Page_NPRU Alumni/i__fas fa-search""))",Edge Chromium 89,,,2564-03-22 19:56:52,2564-03-22 19:56:53,0.430s,PASSED
"click(findTestObject(""search/Page_NPRU Alumni/search_buttonYear""))",Edge Chromium 89,,,2564-03-22 19:56:53,2564-03-22 19:56:53,0.307s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__End_Year""), ""2561"")",Edge Chromium 89,,,2564-03-22 19:56:53,2564-03-22 19:57:25,31.459s,FAILED
,,,,,,,
Test Cases/UC3_Search/TC 304 search by classroom,Edge Chromium 89,,,2564-03-22 19:57:25,2564-03-22 19:57:33,8.656s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-22 19:57:25,2564-03-22 19:57:27,2.408s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-22 19:57:27,2564-03-22 19:57:29,1.526s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-22 19:57:29,2564-03-22 19:57:29,0.147s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Edge Chromium 89,,,2564-03-22 19:57:29,2564-03-22 19:57:29,0.228s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Edge Chromium 89,,,2564-03-22 19:57:29,2564-03-22 19:57:29,0.167s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Edge Chromium 89,,,2564-03-22 19:57:29,2564-03-22 19:57:30,0.440s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/i__fas fa-search""))",Edge Chromium 89,,,2564-03-22 19:57:30,2564-03-22 19:57:30,0.469s,PASSED
